vid,pid,uid,video_height,video_width,video_duration,video_ratio,video_format,music_title,music_duration,post_content,post_location,post_suggested_words,post_text_language,video_path,post_time,user_following_count,user_follower_count,user_likes_count,user_video_count,user_digg_count,user_heart_count,user_friend_count,popularity,video_details,total_frames,frame_rate,ratio_number,video_is_heng,video_area,video_height/width,video_width/height,post_time_normalized,year,month,day,hour,is_holiday,time_period,is_title,len_title,is_suggested,len_suggested,big_music,log_user_following_count,log_user_follower_count,log_user_likes_count,log_user_video_count,log_user_digg_count,log_user_heart_count,log_music_duration,log_video_duration,uid_popularity,time_period_popularity,post_text_language_popularity,post_location_popularity,big_music_popularity,music_title_popularity,year_popularity,month_popularity,day_popularity,hour_popularity,video_ratio_popularity,likes_per_video,followers_per_following,digg_pre_like_ratio,log_likes_per_video,log_followers_per_following,log_digg_pre_like_ratio,log_likes_per_log_video,log_followers_per_log_following,log_digg_pre_log_like_ratio,main_cluster_popularity,has_face,face_frame_rate,avg_faces_per_frame,multi_person_ratio,avg_face_area_ratio,max_face_area_ratio,close_up_ratio,dominant_emotion,emotion_distribution,rms_mean,rms_std,zcr_mean,tempo,beat_std,spectral_centroid_mean,spectral_rolloff_mean,spectral_contrast_mean,chroma_mean,emotion_label,mfcc_1_mean,delta_mfcc_1_mean,mfcc_2_mean,delta_mfcc_2_mean,mfcc_3_mean,delta_mfcc_3_mean,emotion_entropy,positive_emotion_ratio,cluster_total_count,main_cluster,main_cluster_count,main_cluster_freq
VIDEO00004696,POST00003638,USER00004347,1024,576,39,540p,mp4,This Wild Earth (Subjects),60,"Hidden,Gem,in,Estes,Park,rockymountains,hiking,kidhikers,estespark,nature,mountain,scenic,hiddengems,takethetrip,explore,boymom,brothers,familytime,adventure,vacation,hikingtrail,hiddenlake,travel",US,[],en,train/USER00004347/VIDEO00004696.mp4,2023-08-07 04:06,19,185,11300,34,646,11300,0,4.35,"(1183, 30)",1183,30,540,False,589824,1.7777777777777777,0.5625,0.959244049681571,2023,8,7,4,False,Sleep Time,True,23,False,0,This Wild Earth (Subjects),2.995732273553991,5.225746673713201,9.33264649636015,3.555348061489413,6.4723462945009,9.33264649636015,4.110873864173311,3.688879454113936,1,1379,3210,2529,1,1,2765,596,132,110,3446,322.85714285714283,9.25,0.0571630829130165,5.780302501452216,2.327277705584417,0.055588983457073,2.048723032880336,1.3078320357697983,0.6263977284794262,1,1,0.4615,1.2778,0.2778,0.0015,0.0048,0.0,none,{},0.0988169983029365,0.0397110469639301,0.0495687375846085,73.828125,1.5884317324318404,1214.4541104660975,2318.1082507173337,27.275729042768244,0.2834459245204925,unknown,-259.26788330078125,0.0541878379881382,149.0670928955078,-0.0081790275871753,49.65286636352539,-0.0095980614423751,0.0,0.0,10,1065,2,0.2
VIDEO00004697,POST00003639,USER00003447,1024,576,19,540p,mp4,original sound - KidsActivities,19,"fyppppppppppppppppppppppp,fyp,Handmade,ArtTikTokVideos,kids,kidsoftiktok,kidstiktok,kidsideas,kidsactivity",MY,[],un,train/USER00003447/VIDEO00004697.mp4,2023-08-07 05:27,17,29,30,7,18,30,0,1.97,"(577, 30)",577,30,540,False,589824,1.7777777777777777,0.5625,0.9593366794404248,2023,8,7,5,False,Sleep Time,True,9,False,0,original sound ,2.8903717578961645,3.4011973816621555,3.4339872044851463,2.079441541679836,2.9444389791664403,3.4339872044851463,2.995732273553991,2.995732273553991,2,1379,476,46,125,2,2765,596,132,100,3446,3.75,1.6111111111111112,0.5806451612903226,1.55814461804655,0.959775843813894,0.4578330936254803,1.115133103845805,0.8742602489746263,0.6640612260197839,5,1,0.4211,1.125,0.125,0.0035,0.0086,0.0,none,{},0.0922603830695152,0.0582650266587734,0.0900923188104595,107.666015625,1.925066843759244,1258.7197611171805,2527.6908016550788,29.406586833534487,0.2884398102760315,unknown,-232.1743621826172,0.2788791060447693,134.48684692382812,-0.0988886356353759,-23.966766357421875,0.0441442653536796,0.0,0.0,3,1865,1,0.3333333333333333
VIDEO00004699,POST00003640,USER00004536,872,576,23,540p,mp4,original sound,23,"Boss,really,threw,a,car,show,in,his,front,garden,foryoupage,boss,richlife,rickross,carshow,meet,mansion,fy,estate,cartok,foryoupage,viral,foru,dontletthisflop,cr,topclosings,IG",GB,"['Rick Ross', 'rick ross car show', 'rick ross house and cars', 'rick ross house', 'rick ross car collection', 'rick ross cars', 'rick ross private jet', 'rick ross car show 2024', ""rick ross everyday i'm hustling"", 'car show']",en,train/USER00004536/VIDEO00004699.mp4,2023-08-07 10:52,788,67800,4100000,111,10300,4100000,0,10.2,"(702, 30)",702,30,540,False,502272,1.5138888888888888,0.6605504587155964,0.95970834205311,2023,8,7,10,False,Work Time,True,27,True,10,original sound,6.670766320845874,11.124332223082254,15.226497775576943,4.718498871295094,9.239996256883693,15.226497775576943,3.1780538303479453,3.1780538303479453,1,1425,3210,249,1470,1470,2765,596,132,85,3446,36607.142857142855,85.93155893536121,0.0025121945092208,10.508025977079509,4.465121130156462,0.0025090442235785,2.662673914654202,1.4502243658304463,0.5694387282258236,1,1,0.4348,1.3,0.3,0.0024,0.0121,0.0,none,{},0.1267296820878982,0.0378586687147617,0.1005481163108242,135.99917763157896,0.5284089101551572,2213.079336202099,4595.446425800646,25.15638790403957,0.3364608883857727,unknown,-97.0625991821289,0.3167980909347534,95.03192138671876,0.0079250885173678,-27.816783905029297,-0.0298912245780229,0.0,0.0,13,1467,2,0.15384615384615385
VIDEO00004700,POST00003641,USER00000389,1024,576,50,540p,mp4,original sound,50,"Late,night,Power,Pump,from,yesterday,momcozy,momcozys12pros,momcozypumps,pumpingmama,breastfeedingmom,breastfeedingjourney,pumpingjourney,ebf,ep",US,[],en,train/USER00000389/VIDEO00004700.mp4,2023-08-07 14:40,351,70400,3100000,912,14700,3100000,0,3.51,"(1520, 30)",1520,30,540,False,589824,1.7777777777777777,0.5625,0.9599690776706246,2023,8,7,14,False,Work Time,True,15,False,0,original sound,5.863631175598097,11.161962746590705,14.946912992035967,6.816735880594968,9.595670797663963,14.946912992035967,3.9318256327243257,3.9318256327243257,1,1425,3210,2529,1470,1470,2765,596,132,181,3446,3395.3997809419498,200.0,0.0047419339542148,8.130471261628077,5.303304908059076,0.0047307264017522,1.9121680993650625,1.6262474572168502,0.6017259141287176,3,1,0.98,1.1837,0.1837,0.0658,0.1524,0.0,neutral,"{'neutral': 0.5, 'surprise': 0.5}",0.0152234965935349,0.0119407325983047,0.0964571512494268,117.45383522727272,1.3362672496294743,1808.3468356660264,3459.998717170306,23.27017125526853,0.4108723700046539,unknown,-371.818603515625,0.050557903945446,120.732666015625,0.0129442634060978,-22.420801162719727,-0.0201196819543838,1.0,1.0,4,1049,1,0.25
VIDEO00004701,POST00003642,USER00004032,1024,576,268,540p,mp4,original sound,268,"Bamboo,to,make,paper,handwork",US,[],en,train/USER00004032/VIDEO00004701.mp4,2023-08-07 15:15,38,4900000,98500000,2916,119,98500000,0,7.13,"(8048, 30)",8048,30,540,False,589824,1.7777777777777777,0.5625,0.9600091028750676,2023,8,7,15,False,Work Time,True,5,False,0,original sound,3.6635616461296463,15.404745967162466,18.4055671162946,7.978310969867721,4.787491742782046,18.4055671162946,5.594711379601839,5.594711379601839,3,1425,3210,2529,1470,1470,2765,596,132,202,3446,33767.56942063764,125641.02564102564,1.2081218151459717e-06,10.427285750049302,11.741192076103207,1.2081210854762977e-06,2.050003299959856,3.303214825078398,0.2467071286343418,9,1,0.2127,1.1404,0.1404,0.0161,0.3666,0.0175,sad,{'sad': 1.0},0.0523691996932029,0.0642134398221969,0.1826910657675495,143.5546875,1.0536103832073302,2952.1331253752965,5513.524192427697,21.740415016733373,0.4094623029232025,unknown,-204.39498901367188,-0.013530476950109,57.45683670043945,-0.0035331526305526,-31.19457626342773,-0.0009057621355168,-0.0,0.0,2,2074,1,0.5
VIDEO00004702,POST00003643,USER00001714,1024,576,33,540p,mp4,original sound,40,"You,guys,have,to,try,this,easy,dinner,Its,one,of,our,favorites,foryou,foryourpage,easydinner,easydinnerrecipes,dinnerideas",US,"['Dinner Ideas', 'Easy Dinner Recipes', 'Tortellini Recipes', 'Ground Beef Recipes', 'healthy dinner recipes', 'crock pot recipes', 'cheese tortellini pasta recipe', 'pasta recipes', 'recipes for dinner', 'Easy Dinner Ideas']",en,train/USER00001714/VIDEO00004702.mp4,2023-08-07 15:40,610,28400,2300000,265,22400,2300000,0,12.62,"(992, 30)",992,30,540,False,589824,1.7777777777777777,0.5625,0.9600376923068128,2023,8,7,15,False,Work Time,True,18,True,10,original sound,6.415096959171595,10.254179634797,14.648420115681892,5.583496308781699,10.016860879703811,14.648420115681892,3.713572066704308,3.526360524616161,1,1425,3210,2529,1470,1470,2765,596,132,202,3446,8646.616541353384,46.48117839607201,0.0097391262003799,9.065039017604397,3.86033338822186,0.0096920065996179,2.225021391162994,1.3828786988569042,0.6401196290522341,2,1,0.3333,1.3636,0.2727,0.0037,0.0169,0.0,none,{},0.0761976242065429,0.0342951640486717,0.0898464950808151,95.703125,1.0851335368973758,2189.0648689088407,4719.781532743324,22.666299201931245,0.3779886960983276,unknown,-168.40541076660156,0.061841819435358,94.67756652832033,-0.0255859270691871,2.724177122116089,0.0114450249820947,0.0,0.0,21,2401,2,0.09523809523809523
VIDEO00004703,POST00003644,USER00004944,1024,576,28,540p,mp4,original sound,28,"Quick,and,easy,DIY,for,a,black,and,neural,aesthetic,Follow,for,more,home,decor,tips,and,DIYS,interieurfanaad,quickandeasydiy,budgetdecoratingideas,diyhomeidea,interiorinspo101",US,"['DIY Decor', 'DIY home decor', 'diy decoration', 'DIY Home Decor Ideas', 'Home Decor Ideas On Budget', 'home decor on a budget', 'Home Decorations On A Budget', 'decor', 'DIY Home Decoration Ideas', 'DIY Decor Ideas']",en,train/USER00004944/VIDEO00004703.mp4,2023-08-07 16:02,2,2740,75200,32,2,75200,0,5.97,"(850, 30)",850,30,540,False,589824,1.7777777777777777,0.5625,0.9600628510067484,2023,8,7,16,False,Work Time,True,23,True,10,original sound,1.0986122886681096,7.916078096302786,11.227919807721856,3.49650756146648,1.0986122886681096,11.227919807721856,3.3672958299864737,3.3672958299864737,1,1425,3210,2529,1470,1470,2765,596,132,227,3446,2278.787878787879,913.3333333333334,2.659539101873645e-05,7.731837682001053,6.818195202269493,2.659503736764964e-05,2.4970312301798976,3.7720536275553536,0.0898445774868708,23,1,0.1786,1.0,0.0,0.0372,0.0958,0.0,none,{},0.264290302991867,0.0866764038801193,0.0470907242571721,129.19921875,0.7951240294584375,1929.9103276892924,4232.562876216701,22.93531903515311,0.4681696891784668,unknown,-84.6716537475586,0.157122403383255,95.31505584716795,-0.0130758471786975,-4.06114387512207,-0.0154793756082654,0.0,0.0,17,2685,3,0.17647058823529413
VIDEO00004704,POST00003645,USER00001516,1024,576,270,540p,mp4,We Did It!,30,"Back,to,School,clothing,Haul,bets,we,could,do,since,everyone,only,wants,to,sell,winter,clothes,IN,A,SAUNA,backtoschool,growingwithkelsey,kruedupwithkobe,shopping,shoppinghaul,clothing",US,[],en,train/USER00001516/VIDEO00004704.mp4,2023-08-07 16:03,110,2300000,85400000,1468,13500,85400000,0,8.29,"(8110, 30)",8110,30,540,False,589824,1.7777777777777777,0.5625,0.960063994584018,2023,8,7,16,False,Work Time,True,26,False,0,We Did It!,4.709530201312334,14.648420115681892,18.2628566704684,7.292337176173877,9.510519035757246,18.2628566704684,3.4339872044851463,5.602118820879701,1,1425,3210,2529,1,1,2765,596,132,227,3446,58134.785568413885,20720.72072072072,0.0001580796234416,10.97053668384213,9.93893773929209,0.0001580671301746,2.202377482061693,2.5656086576641552,0.4937231895795437,1,1,0.9556,1.3411,0.2829,0.049,0.5741,0.0078,sad,"{'angry': 0.027, 'disgust': 0.027, 'fear': 0.0811, 'happy': 0.3243, 'neutral': 0.1351, 'sad': 0.3784, 'surprise': 0.027}",0.0340943560004234,0.0456270016729831,0.1406414843682888,129.19921875,1.406859799797429,2495.0102408727125,4594.821326645182,24.40014085000684,0.3987399339675903,unknown,-326.16766357421875,0.0160099379718303,73.48233795166016,0.0110325329005718,4.737397193908691,-0.0152213582769036,2.1635000705718994,0.4864,15,1708,3,0.2
VIDEO00004705,POST00003646,USER00004204,1016,576,28,540p,mp4,original sound,28,"fyp,ourlations,crazyinlove,fyppppppppooppppppppppppppp,zoey,viral,foryoupage,xycabc,goviral,sad,real",US,"['Zoe Comforting Amber', 'my best friend comforting me', 'best friend', 'best friend comforting while crying', 'best friend comforts best friend', 'comfort', 'people filming themselves crying', 'girl best friend', 'zoey', 'Comfort Person']",un,train/USER00004204/VIDEO00004705.mp4,2023-08-07 16:08,0,3992,326000,2,570,326000,0,11.17,"(850, 30)",850,30,540,False,585216,1.7638888888888888,0.5669291338582677,0.9600697124703672,2023,8,7,16,False,Work Time,True,11,True,10,original sound,0.0,8.292298107063221,12.694655727828804,1.0986122886681096,6.34738920965601,12.694655727828804,3.3672958299864737,3.3672958299864737,1,1425,476,2529,1470,1470,2765,596,132,227,3446,108666.66666666669,3992.0,0.0017484608942917,11.59604957409238,8.292298107063221,0.001746934115958,6.049071472790004,8.292298107063221,0.4634938866522602,1,1,0.8929,1.0,0.0,0.0618,0.2212,0.0,none,{},0.2319743633270263,0.0740730985999107,0.0458888319672131,99.38401442307692,1.3267995234493153,1111.00491988868,2126.3155577612706,24.40446951500992,0.3515008091926574,unknown,-124.71633911132812,0.0342607200145721,151.46632385253906,0.0316553860902786,5.183346748352051,0.0037590807769447,0.0,0.0,5,2295,1,0.2
VIDEO00004706,POST00003647,USER00004735,1024,576,39,540p,mp4,Creepy Violins,30,"I,love,scratching,them,tho,healthy,holistichealth,diet,nutrition,lifehacks,healthylifestyle,knowledge,naturalremedy",US,"[""barbara o'neill"", 'Holistic Health', 'Health', 'holistic', 'Health Tips', 'Healthy Lifestyle', 'Healthy Lifestyle Tips', 'holistic remedies', 'Nutrition Tips', 'Healthy Living']",en,train/USER00004735/VIDEO00004706.mp4,2023-08-07 17:23,11,154400,1400000,392,26,1400000,0,8.96,"(1171, 30)",1171,30,540,False,589824,1.7777777777777777,0.5625,0.960155480765602,2023,8,7,17,False,Work Time,True,13,True,10,Creepy Violins,2.4849066497880004,11.947308393235776,14.151983508870943,5.973809611869261,3.295836866004329,14.151983508870943,3.4339872044851463,3.688879454113936,1,1425,3210,2529,2,2,2765,596,132,251,3446,3562.34096692112,12866.666666666666,1.8571415306131925e-05,8.178453857609057,9.462472983972008,1.857124285943638e-05,2.029304540345437,3.428300839554074,0.217518509314291,4,1,1.0,1.0513,0.0513,0.0206,0.0283,0.0,angry,"{'angry': 0.6667, 'fear': 0.1667, 'happy': 0.1667}",0.1323019713163375,0.108900748193264,0.11028794941627,107.666015625,1.698078145361721,2017.6493669904733,3844.0738603091536,26.085556199859763,0.3292543292045593,unknown,-199.88983154296875,0.1755208671092987,101.80591583251952,0.0012080086162313,0.9254406690597534,-0.0455221086740493,1.2517000436782837,0.1667,13,2023,3,0.23076923076923078
