vid,pid,uid,video_height,video_width,video_duration,video_ratio,video_format,music_title,music_duration,post_content,post_location,post_suggested_words,post_text_language,video_path,post_time,user_following_count,user_follower_count,user_likes_count,user_video_count,user_digg_count,user_heart_count,user_friend_count,popularity,total_frames,frame_rate,has_face,face_frame_rate,avg_faces_per_frame,multi_person_ratio,avg_face_area_ratio,max_face_area_ratio,close_up_ratio,dominant_emotion,emotion_distribution
VIDEO00004528,POST00003480,USER00000867,1024,576,63,540p,mp4,original sound,63,"Juicy,bouncy,skin,yum,glazedskin,glassskin,skincare",US,[],en,train/USER00000867/VIDEO00004528.mp4,2023-07-26 20:49,408,70200,4200000,273,14200,4200000,0,9.46,1900.0,30.0,1,0.7937,1.02,0.02,0.4853,1.0536,0.72,happy,"{'happy': 0.9091, 'sad': 0.0909}"
VIDEO00000801,POST00000014,USER00001263,1080,576,46,540p,mp4,original sound,46,"GLASS,SKIN,DEWWWW,skincare,glassskin,versed",US,"['versed resurfacing mask', 'glass skin', 'versed', 'Versed Skincare', 'versed instant resurfacing mask', 'versed glass skin', 'face mask', 'mask', 'Face Mask Skincare', 'Skin Products']",en,train/USER00001263/VIDEO00000801.mp4,2022-01-11 22:02,909,18000000,559700000,1488,15900,559700000,0,11.59,1382.0,30.0,1,0.8913,1.0488,0.0488,0.0901,0.1474,0.0,angry,{'angry': 1.0}
VIDEO00002778,POST00001861,USER00002797,1280,720,7,720p,mp4,Me obsessed with you,6,"Glass,skin,in,4K,fyp,skincare,glassskin,viral,trending,clearskin,healthyskin",US,[],en,train/USER00002797/VIDEO00002778.mp4,2023-03-11 22:05,73,489700,3700000,843,780,3700000,0,8.09,226.0,30.0,1,1.1429,1.0,0.0,0.2426,0.2873,0.0,none,{}
VIDEO00004624,POST00003570,USER00004348,1024,576,18,540p,mp4,Way Down We Go - Slowed,60,"glassskin,girl",DZ,[],ar,train/USER00004348/VIDEO00004624.mp4,2023-08-02 11:06,0,200400,3500000,365,2600,3500000,0,8.9,556.0,30.0,1,0.6667,1.0,0.0,0.7435,1.0023,0.9167,sad,"{'angry': 0.25, 'sad': 0.75}"
VIDEO00001616,POST00000779,USER00002024,1024,576,7,540p,mp4,original sound,7,"Mission,Give,everyone,glass,skin,clearskin,skintips",US,[],en,train/USER00002024/VIDEO00001616.mp4,2022-10-09 14:45,462,924000,63800000,2906,11100,63800000,0,8.51,214.0,30.0,1,0.5714,1.0,0.0,0.2058,0.2216,0.0,none,{}
VIDEO00004788,POST00003722,USER00001462,1024,576,101,540p,mp4,original sound,101,"How,to,achieve,glass,steps,consistency,inspired,by,ashley,paige,glassskinroutine,skinroutine,hyperpigmentation,skintok,fyp,skincaresteps,skincare101,skincareroutine,glowingskin",US,"['vitamin c serum', 'Exfoliator For Face', 'glass skin care routine', 'glass skin', 'glass skin routine', 'Skin Care', 'skin care tips', 'skin care routine', 'skin', 'Skin Routine']",en,train/USER00001462/VIDEO00004788.mp4,2023-08-12 18:28,73,526500,22100000,599,3960,22100000,0,10.78,3040.0,30.0,1,1.0099,1.2745,0.2549,0.0671,0.1177,0.0,sad,"{'angry': 0.1111, 'happy': 0.1111, 'neutral': 0.2222, 'sad': 0.5556}"
VIDEO00003942,POST00002934,USER00002345,1238,576,67,540p,mp4,original sound - GlassSkin,67,"hello,diabetes,sulit,ba,kamo,ay,jusko,dai,hahaha,fyp,tiktok,chocolate",PH,[],tl,train/USER00002345/VIDEO00003942.mp4,2023-06-17 05:14,251,759,15200,202,11700,15200,0,4.3,2005.0,29.67,1,0.1739,1.0,0.0,0.008,0.0577,0.0,none,{}
VIDEO00004020,POST00003007,USER00004149,1024,576,53,540p,mp4,Strawberry,20,"Replying,to,Eman,I,hope,that,I,cleared,that,out",MA,[],en,train/USER00004149/VIDEO00004020.mp4,2023-06-22 21:49,4,684,2071,3,2594,2071,0,4.17,1616.0,29.97002997002997,0,0.0,0.0,0.0,0.0,0.0,0.0,none,{}
VIDEO00003737,POST00002743,USER00002751,1024,576,124,540p,mp4,original sound,124,"Things,You,REALLY,Dont,Need,as,a,Beginner,Nail,Tech,nailtech,nailtechlife,nailtechbeginner,beginnernailtech,beginnernailtechtips,nailadvice,beginnernailtechfriendly",US,"['size 10 acrylic brush', 'beginner nail tech', 'Valentino Acrylic Powder', 'gel polish', ""things you don't need as a beginner nail tech"", 'Nail Tech', 'beginner nail tech tips', 'nail tech tips', 'Beginner Nail Tech Supplies', 'nail tech equipment']",en,train/USER00002751/VIDEO00003737.mp4,2023-05-31 02:37,434,149800,2900000,592,15700,2900000,0,10.72,3745.0,30.0,1,0.8387,1.1346,0.1154,0.3932,1.6083,0.4327,happy,"{'angry': 0.3125, 'fear': 0.1875, 'happy': 0.375, 'neutral': 0.0312, 'sad': 0.0625, 'surprise': 0.0312}"
VIDEO00004094,POST00003072,USER00004705,1024,576,35,540p,mp4,original sound,35,"Trust,the,process,13yonailtech,fyp,beginnernailtech,trusttheprocess,trust,flowers,gems,crystals,13,nailart,nails,2023,frenchnails,frenchies,cutenails,flowernails,summernails,summer,flowergemnails,cuteassnails",AU,[],en,train/USER00004705/VIDEO00004094.mp4,2023-06-29 05:19,148,85300,4600000,220,5533,4600000,0,10.3,1075.0,30.0,1,0.0857,1.0,0.0,0.0437,0.1283,0.0,none,{}
VIDEO00004244,POST00003211,USER00004222,1024,576,6,540p,mp4,Golden Hour: Piano Version,60,"enjoy,the,rain,showers,relax,fyp,vibes,beautiful,foryoupage,naturesounds,aestheticvideos,relaxation,rain,peaceful",US,"['rain', 'Golden Hour', 'Golden Hour Piano', 'video aesthetic', 'golden hour instrumental', 'rain vibes', 'rain aesthetic', 'rain sounds', 'Rainy Day', 'Raining Videos']",en,train/USER00004222/VIDEO00004244.mp4,2023-07-09 12:49,37,316200,8700000,462,84,8700000,0,11.16,182.0,30.0,1,0.1667,1.0,0.0,0.001,0.001,0.0,none,{}
VIDEO00003242,POST00002289,USER00004558,1024,576,34,540p,mp4,suono originale - Alex FaBB ASMR,34,"The,Most,Relaxing,Chinese,Head,Spa,Massage,asmr,massage,headspa,massagetok",TH,"['asmr', 'chinese head spa', 'asmr massaging head', 'massaging asmr', 'massage', 'ASMR Sleep Relax', 'head spa', 'Head Massage', 'asmr spa treatment', 'asmr sleep']",en,train/USER00004558/VIDEO00003242.mp4,2023-04-24 13:00,0,1100000,18900000,165,14,18900000,0,11.92,825.0,23.976023976023978,1,0.5714,1.3,0.3,0.1101,0.3615,0.1,none,{}
VIDEO00003903,POST00002896,USER00004717,1024,576,16,540p,mp4,original sound,16,"kiwi,kiwifruit,foryou,fruit,freshfruit,relaxingvideos,interesting,relax,decompression",US,"['kiwi', 'kiwi fruit', 'fruit', 'eating fruit', 'relaxing videos', 'relaxing', 'Kiwi Berries', 'food videos on tiktok', 'Decompression Videos', 'food videos']",un,train/USER00004717/VIDEO00003903.mp4,2023-06-13 07:05,8,31100,979100,117,152,979100,0,11.87,977.0,60.0,1,0.0625,1.0,0.0,0.001,0.001,0.0,none,{}
VIDEO00002081,POST00001204,USER00004423,1024,576,16,540p,mp4,original sound,16,"Turn,up,the,volume,satisfying,foryou,relaxing,decompression,tiktok",US,[],en,train/USER00004423/VIDEO00002081.mp4,2022-12-27 17:23,253,30500,720600,154,2074,720600,0,10.86,972.0,60.0,1,0.0625,1.0,0.0,0.0019,0.0019,0.0,none,{}
VIDEO00001864,POST00001007,USER00004183,1024,576,24,540p,mp4,original sound,24,"I,could,fall,asleep,asmr,asmrsounds,asmrhairbrushing,hairwashing,hairmassage,headache,asmrrelaxing",US,[],en,train/USER00004183/VIDEO00001864.mp4,2022-11-24 06:59,2,52200,1000000,241,168,1000000,0,10.18,721.0,30.0,0,0.0,0.0,0.0,0.0,0.0,0.0,none,{}
VIDEO00004806,POST00003737,USER00003717,1024,576,77,540p,mp4,original sound,77,"goodnight,bestie,forgot,who,was,the,asmrtist,for,a,sec,asmr,asmrforsleep,asmrtiktok,asmrvideo,relax,fyp",US,"['asmr sleep and relax', 'asmr', 'asmr sleep', 'ASMR To Fall Asleep', 'asmr tingles', 'asmr doing your hair', 'asmr mouth sound', 'asmr sleep and relax to fall asleep', 'asmr hair', 'relaxing for sleep asmr']",en,train/USER00003717/VIDEO00004806.mp4,2023-08-14 01:14,210,1300000,31100000,988,5746,31100000,0,9.65,2323.0,30.0,1,0.8312,1.0469,0.0469,0.1553,0.2845,0.0,sad,"{'happy': 0.1351, 'neutral': 0.3514, 'sad': 0.5135}"
VIDEO00002817,POST00001899,USER00004615,1280,720,193,720p,mp4,nhạc nền,193,"Experience,soothing,sensations,with,ASMR,perfect,for,relaxation,and,sleep,asmr,relax,sleepaid,pretty,girl",US,[],en,train/USER00004615/VIDEO00002817.mp4,2023-03-15 12:25,0,8137,106800,29,0,106800,0,9.77,5801.0,30.0,1,0.8394,1.3519,0.1975,0.1208,1.0967,0.0494,happy,"{'angry': 0.3077, 'happy': 0.3846, 'sad': 0.3077}"
VIDEO00002622,POST00001712,USER00000445,1024,576,46,540p,mp4,original sound,46,"Replying,to,RYZEN,Might,have,put,TOO,much,sleep,relax,sleepaid,asmr",CA,"['chia seeds asmr', 'asmr', 'asmr sleep and relax', 'asmr video', 'asmr tiktoks', 'crunching asmr', 'asmr relax', 'relaxing', 'ASMR To Fall Asleep', 'relaxing for sleep']",en,train/USER00000445/VIDEO00002622.mp4,2023-02-24 02:18,91,5800000,91900000,482,442,91900000,0,10.52,1126.0,23.976023976023978,1,0.9583,1.0217,0.0217,0.2048,0.2616,0.0,neutral,"{'fear': 0.3333, 'neutral': 0.6667}"
VIDEO00001678,POST00000838,USER00004235,1024,576,14,540p,mp4,Mission Impossible Theme (Movie Trailer Mix),29,"andgo,foryou,decompressing,relaxing,roller,sleepaid,crushed,satisfyingvideo,cosmeticasmrrepair,thank,you,for,attention",US,[],en,train/USER00004235/VIDEO00001678.mp4,2022-10-19 04:29,0,91800,3800000,183,945,3800000,0,11.46,442.0,30.0,1,0.1429,1.0,0.0,0.0062,0.0112,0.0,none,{}
